year,applicant_id,grade_id,program_id,ranking,quota_id,priority_profile,lottery_number
2025,28424431,1,1,1,1,2195,0.997175232999
2025,28484687,1,1,1,1,2071,0.000000000998000015961509
2025,28444275,1,1,1,1,485,0.990486514993
2025,28518845,1,1,1,1,485,0.996070614994
2025,28469359,1,1,1,1,485,0.996826392995
2025,28486166,1,1,1,1,485,0.999999998996
2025,28501600,1,1,1,1,485,0.999999998997
2025,28425810,1,1,1,1,478,0.000000000991999926647225
2025,28429447,1,1,1,1,476,0.995173322991
2025,28488880,1,1,1,1,474,0.98882175399
2025,28541899,1,1,1,1,469,0.000000000986999926233523
2025,28446675,1,1,1,1,469,0.000000000988000015134105
2025,28466468,1,1,1,1,469,0.000000000988999993012385
2025,28431256,1,1,1,1,467,0.993024268986
2025,28492410,1,1,1,1,460,0.000000000983999992598683
2025,100784630,1,1,1,1,460,0.000000000984999970476963
2025,28445529,1,1,1,1,286,0.989053821983
2025,28465970,1,1,1,1,28,0.000000000981999925819821
2025,28463881,1,1,1,1,19,0.000000000975999947527839
2025,28479527,1,1,1,1,19,0.000000000976999925406119
2025,28543161,1,1,1,1,19,0.000000000978000014306701
2025,28415612,1,1,1,1,19,0.000000000978999992184981
2025,28409013,1,1,1,1,19,0.000000000979999970063261
2025,28428927,1,1,1,1,19,0.000000000980999947941541
2025,28472573,1,1,1,1,10,0.000000000974999969649559
2025,27731955,2,2,1,1,494,0.994194365999
2025,28333899,2,2,1,1,485,0.991628918997
2025,28152266,2,2,1,1,485,0.999999998998
2025,28192140,2,2,1,1,483,0.987983447996
2025,28182181,2,2,1,1,478,0.000000000994999971304367
2025,28200103,2,2,1,1,476,0.99050831999
2025,28230053,2,2,1,1,476,0.990691153991
2025,28216400,2,2,1,1,476,0.993551202992
2025,28217800,2,2,1,1,476,0.998530696993
2025,28220380,2,2,1,1,476,0.998740003994
2025,28118176,2,2,1,1,475,0.989350517988
2025,28278654,2,2,1,1,475,0.989989816989
2025,28263545,2,2,1,1,474,0.988112083987
2025,28351160,2,2,1,1,467,0.990767360983
2025,28311183,2,2,1,1,467,0.993397279984
2025,28214659,2,2,1,1,467,0.995462499985
2025,28344736,2,2,1,1,467,0.996725174986
2025,28376754,2,2,1,1,466,0.989779510982
2025,28388811,2,2,1,1,465,0.98835290898
